id,kode_provinsi,nama_provinsi,pdrb_per_kapita,satuan,tahun
114,32,JAWA BARAT,43309.19,RIBU RUPIAH,2019
115,33,JAWA TENGAH,39388.15,RIBU RUPIAH,2019
116,34,DI YOGYAKARTA,36459.73,RIBU RUPIAH,2019
117,35,JAWA TIMUR,59015.17,RIBU RUPIAH,2019
118,36,BANTEN,52013.99,RIBU RUPIAH,2019
119,51,BALI,57755.96,RIBU RUPIAH,2019
120,52,NUSA TENGGARA BARAT,25716.11,RIBU RUPIAH,2019
121,53,NUSA TENGGARA TIMUR,19630.02,RIBU RUPIAH,2019
122,61,KALIMANTAN BARAT,42045.41,RIBU RUPIAH,2019
123,62,KALIMANTAN TENGAH,56625.38,RIBU RUPIAH,2019
124,63,KALIMANTAN SELATAN,42823.56,RIBU RUPIAH,2019
125,64,KALIMANTAN TIMUR,180259.1,RIBU RUPIAH,2019
126,65,KALIMANTAN UTARA,138751.01,RIBU RUPIAH,2019
127,71,SULAWESI UTARA,52173.02,RIBU RUPIAH,2019
128,72,SULAWESI TENGAH,61056.03,RIBU RUPIAH,2019
129,73,SULAWESI SELATAN,57182.14,RIBU RUPIAH,2019
130,74,SULAWESI TENGGARA,48514.15,RIBU RUPIAH,2019
131,75,GORONTALO,34976.65,RIBU RUPIAH,2019
132,76,SULAWESI BARAT,34111.83,RIBU RUPIAH,2019
133,81,MALUKU,26097.04,RIBU RUPIAH,2019
134,82,MALUKU UTARA,32124.96,RIBU RUPIAH,2019
135,91,PAPUA BARAT,87542.37,RIBU RUPIAH,2019
136,94,PAPUA,56618.95,RIBU RUPIAH,2019
137,11,ACEH,31633.38,RIBU RUPIAH,2020
138,12,SUMATERA UTARA,54979.04,RIBU RUPIAH,2020
139,13,SUMATERA BARAT,43825.66,RIBU RUPIAH,2020
140,14,RIAU,114166.9,RIBU RUPIAH,2020
141,15,JAMBI,57957.73,RIBU RUPIAH,2020
142,16,SUMATERA SELATAN,53842.74,RIBU RUPIAH,2020
143,17,BENGKULU,36552.5,RIBU RUPIAH,2020
144,18,LAMPUNG,39290.33,RIBU RUPIAH,2020
145,19,KEPULAUAN BANGKA BELITUNG,52023.4,RIBU RUPIAH,2020
146,21,KEPULAUAN RIAU,123464.79,RIBU RUPIAH,2020
147,31,DKI JAKARTA,262615.17,RIBU RUPIAH,2020
148,32,JAWA BARAT,43236.51,RIBU RUPIAH,2020
149,33,JAWA TENGAH,36964.78,RIBU RUPIAH,2020
150,34,DI YOGYAKARTA,37693.64,RIBU RUPIAH,2020
151,35,JAWA TIMUR,56640.82,RIBU RUPIAH,2020
152,36,BANTEN,52729.4,RIBU RUPIAH,2020
153,51,BALI,52015.45,RIBU RUPIAH,2020
154,52,NUSA TENGGARA BARAT,25183.56,RIBU RUPIAH,2020
155,53,NUSA TENGGARA TIMUR,20056.99,RIBU RUPIAH,2020
156,61,KALIMANTAN BARAT,39622.24,RIBU RUPIAH,2020
157,62,KALIMANTAN TENGAH,57145.08,RIBU RUPIAH,2020
158,63,KALIMANTAN SELATAN,44100.79,RIBU RUPIAH,2020
159,64,KALIMANTAN TIMUR,161798.85,RIBU RUPIAH,2020
160,65,KALIMANTAN UTARA,143533.29,RIBU RUPIAH,2020
161,71,SULAWESI UTARA,50521.13,RIBU RUPIAH,2020
162,72,SULAWESI TENGAH,66306.27,RIBU RUPIAH,2020
163,73,SULAWESI SELATAN,55675.03,RIBU RUPIAH,2020
164,74,SULAWESI TENGGARA,49718.15,RIBU RUPIAH,2020
165,75,GORONTALO,35693.26,RIBU RUPIAH,2020
166,76,SULAWESI BARAT,32836.75,RIBU RUPIAH,2020
167,81,MALUKU,25094.36,RIBU RUPIAH,2020
168,82,MALUKU UTARA,33069.32,RIBU RUPIAH,2020
169,91,PAPUA BARAT,73932.6,RIBU RUPIAH,2020
170,94,PAPUA,46416.36,RIBU RUPIAH,2020
171,11,ACEH,34673.56,RIBU RUPIAH,2021
172,12,SUMATERA UTARA,57441.93,RIBU RUPIAH,2021
173,13,SUMATERA BARAT,45218.16,RIBU RUPIAH,2021
174,14,RIAU,129740.71,RIBU RUPIAH,2021
175,15,JAMBI,64770.93,RIBU RUPIAH,2021
176,16,SUMATERA SELATAN,57744.67,RIBU RUPIAH,2021
177,17,BENGKULU,39167.13,RIBU RUPIAH,2021
178,18,LAMPUNG,40806.71,RIBU RUPIAH,2021
179,19,KEPULAUAN BANGKA BELITUNG,58406.07,RIBU RUPIAH,2021
180,21,KEPULAUAN RIAU,131883.84,RIBU RUPIAH,2021
181,31,DKI JAKARTA,274659.62,RIBU RUPIAH,2021
182,32,JAWA BARAT,45234.18,RIBU RUPIAH,2021
183,33,JAWA TENGAH,38568.08,RIBU RUPIAH,2021
184,34,DI YOGYAKARTA,40516.0,RIBU RUPIAH,2021
185,35,JAWA TIMUR,59988.44,RIBU RUPIAH,2021
186,36,BANTEN,55383.29,RIBU RUPIAH,2021
187,51,BALI,50758.32,RIBU RUPIAH,2021
188,52,NUSA TENGGARA BARAT,26009.17,RIBU RUPIAH,2021
189,53,NUSA TENGGARA TIMUR,20554.99,RIBU RUPIAH,2021
190,61,KALIMANTAN BARAT,42252.66,RIBU RUPIAH,2021
191,62,KALIMANTAN TENGAH,62833.77,RIBU RUPIAH,2021
192,63,KALIMANTAN SELATAN,48065.95,RIBU RUPIAH,2021
193,64,KALIMANTAN TIMUR,183157.52,RIBU RUPIAH,2021
194,65,KALIMANTAN UTARA,157091.68,RIBU RUPIAH,2021
195,71,SULAWESI UTARA,54034.12,RIBU RUPIAH,2021
196,72,SULAWESI TENGAH,82016.81,RIBU RUPIAH,2021
197,73,SULAWESI SELATAN,59502.64,RIBU RUPIAH,2021
198,74,SULAWESI TENGGARA,52436.02,RIBU RUPIAH,2021
199,75,GORONTALO,37086.76,RIBU RUPIAH,2021
200,76,SULAWESI BARAT,35195.14,RIBU RUPIAH,2021
201,81,MALUKU,26153.05,RIBU RUPIAH,2021
202,82,MALUKU UTARA,40381.06,RIBU RUPIAH,2021
203,91,PAPUA BARAT,74021.65,RIBU RUPIAH,2021
204,94,PAPUA,54050.61,RIBU RUPIAH,2021
205,11,ACEH,38767.08,RIBU RUPIAH,2022
206,12,SUMATERA UTARA,62922.26,RIBU RUPIAH,2022
207,13,SUMATERA BARAT,50263.83,RIBU RUPIAH,2022
208,14,RIAU,151258.97,RIBU RUPIAH,2022
209,15,JAMBI,76224.16,RIBU RUPIAH,2022
210,16,SUMATERA SELATAN,68238.87,RIBU RUPIAH,2022
211,17,BENGKULU,43756.98,RIBU RUPIAH,2022
212,18,LAMPUNG,44982.4,RIBU RUPIAH,2022
213,19,KEPULAUAN BANGKA BELITUNG,63865.51,RIBU RUPIAH,2022
214,21,KEPULAUAN RIAU,145530.48,RIBU RUPIAH,2022
215,31,DKI JAKARTA,299674.73,RIBU RUPIAH,2022
216,32,JAWA BARAT,49136.9,RIBU RUPIAH,2022
217,33,JAWA TENGAH,41934.46,RIBU RUPIAH,2022
218,34,DI YOGYAKARTA,44638.79,RIBU RUPIAH,2022
219,35,JAWA TIMUR,66248.49,RIBU RUPIAH,2022
220,36,BANTEN,61413.54,RIBU RUPIAH,2022
221,51,BALI,56092.96,RIBU RUPIAH,2022
222,52,NUSA TENGGARA BARAT,28670.72,RIBU RUPIAH,2022
223,53,NUSA TENGGARA TIMUR,21657.61,RIBU RUPIAH,2022
224,61,KALIMANTAN BARAT,46092.06,RIBU RUPIAH,2022
225,62,KALIMANTAN TENGAH,72973.14,RIBU RUPIAH,2022
226,63,KALIMANTAN SELATAN,60213.03,RIBU RUPIAH,2022
227,64,KALIMANTAN TIMUR,238916.99,RIBU RUPIAH,2022
228,65,KALIMANTAN UTARA,192588.32,RIBU RUPIAH,2022
229,71,SULAWESI UTARA,59020.57,RIBU RUPIAH,2022
230,72,SULAWESI TENGAH,106068.47,RIBU RUPIAH,2022
231,73,SULAWESI SELATAN,65353.29,RIBU RUPIAH,2022
232,74,SULAWESI TENGGARA,58714.73,RIBU RUPIAH,2022
233,75,GORONTALO,39690.94,RIBU RUPIAH,2022
234,76,SULAWESI BARAT,37033.82,RIBU RUPIAH,2022
235,81,MALUKU,28536.54,RIBU RUPIAH,2022
236,82,MALUKU UTARA,53776.27,RIBU RUPIAH,2022
237,91,PAPUA BARAT,78132.75,RIBU RUPIAH,2022
238,94,PAPUA,59383.62,RIBU RUPIAH,2022
239,11,ACEH,41407.59,RIBU RUPIAH,2023
240,12,SUMATERA UTARA,68305.71,RIBU RUPIAH,2023
241,13,SUMATERA BARAT,54326.6,RIBU RUPIAH,2023
242,14,RIAU,154522.28,RIBU RUPIAH,2023
243,15,JAMBI,79849.56,RIBU RUPIAH,2023
244,16,SUMATERA SELATAN,71958.27,RIBU RUPIAH,2023
245,17,BENGKULU,46300.49,RIBU RUPIAH,2023
246,18,LAMPUNG,48191.04,RIBU RUPIAH,2023
247,19,KEPULAUAN BANGKA BELITUNG,67813.24,RIBU RUPIAH,2023
248,21,KEPULAUAN RIAU,154065.16,RIBU RUPIAH,2023
249,31,DKI JAKARTA,322619.37,RIBU RUPIAH,2023
250,32,JAWA BARAT,52651.59,RIBU RUPIAH,2023
251,33,JAWA TENGAH,45167.24,RIBU RUPIAH,2023
252,34,DI YOGYAKARTA,48359.85,RIBU RUPIAH,2023
253,35,JAWA TIMUR,71121.93,RIBU RUPIAH,2023
254,36,BANTEN,66147.2,RIBU RUPIAH,2023
255,51,BALI,62293.79,RIBU RUPIAH,2023
256,52,NUSA TENGGARA BARAT,29925.69,RIBU RUPIAH,2023
257,53,NUSA TENGGARA TIMUR,23077.98,RIBU RUPIAH,2023
258,61,KALIMANTAN BARAT,48808.92,RIBU RUPIAH,2023
259,62,KALIMANTAN TENGAH,75271.23,RIBU RUPIAH,2023
260,63,KALIMANTAN SELATAN,63754.33,RIBU RUPIAH,2023
261,64,KALIMANTAN TIMUR,215761.42,RIBU RUPIAH,2023
262,65,KALIMANTAN UTARA,201748.78,RIBU RUPIAH,2023
263,71,SULAWESI UTARA,64130.96,RIBU RUPIAH,2023
264,72,SULAWESI TENGAH,112461.01,RIBU RUPIAH,2023
265,73,SULAWESI SELATAN,69710.31,RIBU RUPIAH,2023
266,74,SULAWESI TENGGARA,64088.4,RIBU RUPIAH,2023
267,75,GORONTALO,42340.5,RIBU RUPIAH,2023
268,76,SULAWESI BARAT,39546.93,RIBU RUPIAH,2023
269,81,MALUKU,30455.06,RIBU RUPIAH,2023
270,82,MALUKU UTARA,63675.18,RIBU RUPIAH,2023
271,91,PAPUA BARAT,108110.28,RIBU RUPIAH,2023
272,92,PAPUA BARAT DAYA,58450.28,RIBU RUPIAH,2023
273,94,PAPUA,78055.48,RIBU RUPIAH,2023
274,95,PAPUA SELATAN,58676.67,RIBU RUPIAH,2023
275,96,PAPUA TENGAH,103508.09,RIBU RUPIAH,2023
276,97,PAPUA PEGUNUNGAN,16869.97,RIBU RUPIAH,2023
277,11,ACEH,43782.21,RIBU RUPIAH,2024
278,12,SUMATERA UTARA,73574.62,RIBU RUPIAH,2024
279,13,SUMATERA BARAT,57047.21,RIBU RUPIAH,2024
280,14,RIAU,165349.71,RIBU RUPIAH,2024
281,15,JAMBI,86721.51,RIBU RUPIAH,2024
282,16,SUMATERA SELATAN,75131.73,RIBU RUPIAH,2024
283,17,BENGKULU,49233.12,RIBU RUPIAH,2024
284,18,LAMPUNG,51369.89,RIBU RUPIAH,2024
285,19,KEPULAUAN BANGKA BELITUNG,70194.39,RIBU RUPIAH,2024
286,21,KEPULAUAN RIAU,161424.32,RIBU RUPIAH,2024
287,31,DKI JAKARTA,344349.76,RIBU RUPIAH,2024
288,32,JAWA BARAT,56079.61,RIBU RUPIAH,2024
289,33,JAWA TENGAH,47972.22,RIBU RUPIAH,2024
290,34,DI YOGYAKARTA,51473.44,RIBU RUPIAH,2024
291,35,JAWA TIMUR,75770.26,RIBU RUPIAH,2024
292,36,BANTEN,70275.82,RIBU RUPIAH,2024
293,51,BALI,67318.72,RIBU RUPIAH,2024
294,52,NUSA TENGGARA BARAT,32282.1,RIBU RUPIAH,2024
295,53,NUSA TENGGARA TIMUR,24271.84,RIBU RUPIAH,2024
296,61,KALIMANTAN BARAT,52702.7,RIBU RUPIAH,2024
297,62,KALIMANTAN TENGAH,79319.74,RIBU RUPIAH,2024
298,63,KALIMANTAN SELATAN,67117.25,RIBU RUPIAH,2024
299,64,KALIMANTAN TIMUR,212175.2,RIBU RUPIAH,2024
300,65,KALIMANTAN UTARA,198429.1,RIBU RUPIAH,2024
301,71,SULAWESI UTARA,69352.24,RIBU RUPIAH,2024
302,72,SULAWESI TENGAH,120749.57,RIBU RUPIAH,2024
303,73,SULAWESI SELATAN,73573.33,RIBU RUPIAH,2024
304,74,SULAWESI TENGGARA,67839.91,RIBU RUPIAH,2024
305,75,GORONTALO,44432.95,RIBU RUPIAH,2024
306,76,SULAWESI BARAT,42717.88,RIBU RUPIAH,2024
307,81,MALUKU,32198.14,RIBU RUPIAH,2024
308,82,MALUKU UTARA,70659.57,RIBU RUPIAH,2024
309,91,PAPUA BARAT,131636.45,RIBU RUPIAH,2024
310,92,PAPUA BARAT DAYA,59063.54,RIBU RUPIAH,2024
311,94,PAPUA,81009.15,RIBU RUPIAH,2024
312,95,PAPUA SELATAN,61583.45,RIBU RUPIAH,2024
313,96,PAPUA TENGAH,118773.53,RIBU RUPIAH,2024
314,97,PAPUA PEGUNUNGAN,18105.38,RIBU RUPIAH,2024
